no.,fake.name,sector,pretest,state,gender,pre,email,phone
1,Pont,Private,1352,NY,F,High,Pont@...com,xxx-xx-6216
2,Street,NGO,1438,CA,F,High,Street@...com,xxx-xx-6405
3,Galvan,Private,1389,NY,F,High,Galvan@...com,xxx-xx-9195
4,Gorman,NGO,1375,CA,F,High,Gorman@...com,xxx-xx-1845
5,Jacinto,Private,1386,CA,F,High,Jacinto@...com,xxx-xx-6237
6,Shah,Public,1384,CA,F,High,Shah@...com,xxx-xx-5723
7,Randon,Private,1360,TX,F,High,Randon@...com,xxx-xx-7542
8,Koucherik,NGO,1439,NY,F,High,Koucherik@...com,xxx-xx-9137
9,Waters,Industry,1414,TX,F,High,Waters@...com,xxx-xx-7560
10,David,Industry,1396,CA,F,High,David@...com,xxx-xx-6498
11,Morales,NGO,1532,CA,F,High,Morales@...com,xxx-xx-2003
12,Seubert,Public,1376,TX,F,High,Seubert@...com,xxx-xx-7361
13,Shaver,Education,1414,TX,F,High,Shaver@...com,xxx-xx-4419
14,Smeal,Private,1375,CA,F,High,Smeal@...com,xxx-xx-9878
15,Engman,Education,1436,CA,F,High,Engman@...com,xxx-xx-9446
16,Rich,Education,1438,CA,F,High,Rich@...com,xxx-xx-5253
17,Olguin,Public,1382,TX,F,High,Olguin@...com,xxx-xx-8455
18,al-Zafar,NGO,1455,CA,F,High,al-Zafar@...com,xxx-xx-4900
19,Perez-Estrada,Education,1354,NY,F,High,Perez-Estrada@...com,xxx-xx-8665
20,Bissey,Education,1435,TX,F,High,Bissey@...com,xxx-xx-2149
21,Thompson Wilson,Industry,1359,TX,F,High,Thompson Wilson@...com,xxx-xx-2868
22,Johnson,Industry,1366,CA,F,High,Johnson@...com,xxx-xx-8887
23,Martinez,Education,1449,TX,F,High,Martinez@...com,xxx-xx-7723
24,Johnson,Industry,1379,NY,F,High,Johnson@...com,xxx-xx-2650
25,Shrestha,Industry,1368,CA,F,High,Shrestha@...com,xxx-xx-5858
26,Rojas,Education,1430,TX,F,High,Rojas@...com,xxx-xx-9512
27,Zarcula,NGO,1450,TX,F,High,Zarcula@...com,xxx-xx-4611
28,el-Tabatabai,Education,1419,CA,F,High,el-Tabatabai@...com,xxx-xx-7923
29,Martinez,Education,1362,TX,F,High,Martinez@...com,xxx-xx-4601
30,al-Azam,NGO,1457,CA,F,High,al-Azam@...com,xxx-xx-8483
31,Hewlett,Industry,1379,CA,F,High,Hewlett@...com,xxx-xx-6455
32,Brassard,Industry,1374,NY,M,High,Brassard@...com,xxx-xx-4893
33,Hernandez,Industry,1354,TX,M,High,Hernandez@...com,xxx-xx-7837
34,Farris-Neal,Private,1394,CA,M,High,Farris-Neal@...com,xxx-xx-7020
35,Morales,Public,1447,NY,M,High,Morales@...com,xxx-xx-7462
36,Gitschlag,Education,1367,TX,M,High,Gitschlag@...com,xxx-xx-2501
37,el-Abed,Public,1353,NY,M,High,el-Abed@...com,xxx-xx-8980
38,Cheung,Industry,1437,TX,M,High,Cheung@...com,xxx-xx-4234
39,Trobiani,Private,1442,CA,M,High,Trobiani@...com,xxx-xx-4945
40,Thierry,Education,1391,TX,M,High,Thierry@...com,xxx-xx-7176
41,Brady,Private,1517,NY,M,High,Brady@...com,xxx-xx-5769
42,Chun,Education,1395,TX,M,High,Chun@...com,xxx-xx-1928
43,Villegas,Public,1353,NY,M,High,Villegas@...com,xxx-xx-6921
44,Komrofske,Public,1483,CA,M,High,Komrofske@...com,xxx-xx-5743
45,Ofsowitz,Private,1529,TX,M,High,Ofsowitz@...com,xxx-xx-6792
46,Zebulun,Public,1422,NY,M,High,Zebulun@...com,xxx-xx-3059
47,el-Azizi,NGO,1368,NY,M,High,el-Azizi@...com,xxx-xx-4400
48,Romero,Private,1377,CA,M,High,Romero@...com,xxx-xx-3962
49,Sanchez,NGO,1469,CA,M,High,Sanchez@...com,xxx-xx-9159
50,Salas-Smith,Industry,1456,NY,M,High,Salas-Smith@...com,xxx-xx-9774
51,Perez Puga,Industry,1383,TX,M,High,Perez Puga@...com,xxx-xx-7235
52,Montalbo,Industry,1380,CA,M,High,Montalbo@...com,xxx-xx-7096
53,Bushman,Industry,1447,CA,M,High,Bushman@...com,xxx-xx-3215
54,Schipper,Industry,1435,TX,M,High,Schipper@...com,xxx-xx-6861
55,el-Javid,Education,1388,NY,M,High,el-Javid@...com,xxx-xx-1776
56,Tolbert,Public,1489,CA,M,High,Tolbert@...com,xxx-xx-6013
57,Montoya,Private,1501,TX,M,High,Montoya@...com,xxx-xx-6919
58,Rivera,NGO,1493,TX,M,High,Rivera@...com,xxx-xx-6856
59,Mckee,NGO,1360,NY,M,High,Mckee@...com,xxx-xx-5083
60,Kagiyama,Industry,1351,NY,M,High,Kagiyama@...com,xxx-xx-4360
61,al-Farha,Education,1388,NY,M,High,al-Farha@...com,xxx-xx-6376
62,Jaramillo,Public,1410,CA,M,High,Jaramillo@...com,xxx-xx-9995
63,Bartoszek,Industry,1092,TX,F,Low,Bartoszek@...com,xxx-xx-4757
64,Voyles,Public,1194,TX,F,Low,Voyles@...com,xxx-xx-5561
65,el-Hamidi,Industry,1136,NY,F,Low,el-Hamidi@...com,xxx-xx-2026
66,Sharza,NGO,1141,TX,F,Low,Sharza@...com,xxx-xx-1405
67,Ornelas,Industry,1164,TX,F,Low,Ornelas@...com,xxx-xx-4792
68,Preap,Education,1247,CA,F,Low,Preap@...com,xxx-xx-1280
69,Anderson,Public,1096,NY,F,Low,Anderson@...com,xxx-xx-2032
70,Avants,Private,1241,CA,F,Low,Avants@...com,xxx-xx-6477
71,el-Azam,Education,1248,NY,F,Low,el-Azam@...com,xxx-xx-6206
72,el-Haider,Education,1237,CA,F,Low,el-Haider@...com,xxx-xx-9892
73,Thompson,Private,1159,NY,F,Low,Thompson@...com,xxx-xx-3948
74,al-Yassin,Education,1201,NY,F,Low,al-Yassin@...com,xxx-xx-3045
75,Chukwuka,NGO,1182,NY,F,Low,Chukwuka@...com,xxx-xx-6088
76,al-Rasul,Industry,1124,TX,F,Low,al-Rasul@...com,xxx-xx-9271
77,Osman,Industry,1225,NY,F,Low,Osman@...com,xxx-xx-2860
78,Grossan,NGO,1125,NY,F,Low,Grossan@...com,xxx-xx-6681
79,Teague,NGO,1115,TX,F,Low,Teague@...com,xxx-xx-2304
80,Zimah,Education,1248,TX,F,Low,Zimah@...com,xxx-xx-1563
81,Broderick,Public,1149,NY,F,Low,Broderick@...com,xxx-xx-7258
82,Ruybal,Private,1165,CA,F,Low,Ruybal@...com,xxx-xx-2551
83,Montelongo Declay,Private,1215,TX,F,Low,Montelongo Declay@...com,xxx-xx-2423
84,Nteza,Education,1216,NY,F,Low,Nteza@...com,xxx-xx-6801
