fake name,school,sex,race/ethnicity,academic engagement,Random Number,Selected (X),school,sex,race,academic engagement
"Stoytcheva, Nicholas",Communication,male,White,31,2.86233E-06,X,Communication,male,White,31
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,32,2.64824E-05,X,Undergraduate Studies,female,Hispanic,32
"Lu, Mark",Engineering,male,Other,38,3.80667E-05,X,Engineering,male,Other,38
"Stoytcheva, Nicholas",Communication,male,White,40.66666667,5.76748E-05,X,Communication,male,White,40.66666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,44.16666667,7.5277E-05,X,Undergraduate Studies,female,Hispanic,44.16666667
"Lu, Mark",Engineering,male,Other,47.66666667,9.28792E-05,X,Engineering,male,Other,47.66666667
"Stoytcheva, Nicholas",Communication,male,White,51.16666667,0.000110481,X,Communication,male,White,51.16666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,54.66666667,0.000128084,X,Undergraduate Studies,female,Hispanic,54.66666667
"Lu, Mark",Engineering,male,Other,58.16666667,0.000145686,X,Engineering,male,Other,58.16666667
"Stoytcheva, Nicholas",Communication,male,White,61.66666667,0.000163288,X,Communication,male,White,61.66666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,65.16666667,0.00018089,X,Undergraduate Studies,female,Hispanic,65.16666667
"Lu, Mark",Engineering,male,Other,68.66666667,0.000198492,X,Engineering,male,Other,68.66666667
"Stoytcheva, Nicholas",Communication,male,White,72.16666667,0.000216094,X,Communication,male,White,72.16666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,75.66666667,0.000233697,X,Undergraduate Studies,female,Hispanic,75.66666667
"Lu, Mark",Engineering,male,Other,79.16666667,0.000251299,X,Engineering,male,Other,79.16666667
"Stoytcheva, Nicholas",Communication,male,White,82.66666667,0.000268901,X,Communication,male,White,82.66666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,86.16666667,0.000286503,X,Undergraduate Studies,female,Hispanic,86.16666667
"Lu, Mark",Engineering,male,Other,89.66666667,0.000304105,X,Engineering,male,Other,89.66666667
"Stoytcheva, Nicholas",Communication,male,White,93.16666667,0.000321707,X,Communication,male,White,93.16666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,96.66666667,0.00033931,X,Undergraduate Studies,female,Hispanic,96.66666667
"Lu, Mark",Engineering,male,Other,100.1666667,0.000356912,X,Engineering,male,Other,100.1666667
"Stoytcheva, Nicholas",Communication,male,White,103.6666667,0.000374514,X,Communication,male,White,103.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,107.1666667,0.000392116,X,Undergraduate Studies,female,Hispanic,107.1666667
"Lu, Mark",Engineering,male,Other,110.6666667,0.000409718,X,Engineering,male,Other,110.6666667
"Stoytcheva, Nicholas",Communication,male,White,114.1666667,0.000427321,X,Communication,male,White,114.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,117.6666667,0.000444923,X,Undergraduate Studies,female,Hispanic,117.6666667
"Lu, Mark",Engineering,male,Other,121.1666667,0.000462525,X,Engineering,male,Other,121.1666667
"Stoytcheva, Nicholas",Communication,male,White,124.6666667,0.000480127,X,Communication,male,White,124.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,128.1666667,0.000497729,X,Undergraduate Studies,female,Hispanic,128.1666667
"Lu, Mark",Engineering,male,Other,131.6666667,0.000515331,X,Engineering,male,Other,131.6666667
"Stoytcheva, Nicholas",Communication,male,White,135.1666667,0.000532934,X,Communication,male,White,135.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,138.6666667,0.000550536,X,Undergraduate Studies,female,Hispanic,138.6666667
"Lu, Mark",Engineering,male,Other,142.1666667,0.000568138,X,Engineering,male,Other,142.1666667
"Stoytcheva, Nicholas",Communication,male,White,145.6666667,0.00058574,X,Communication,male,White,145.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,149.1666667,0.000603342,X,Undergraduate Studies,female,Hispanic,149.1666667
"Lu, Mark",Engineering,male,Other,152.6666667,0.000620944,X,Engineering,male,Other,152.6666667
"Stoytcheva, Nicholas",Communication,male,White,156.1666667,0.000638547,X,Communication,male,White,156.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,159.6666667,0.000656149,X,Undergraduate Studies,female,Hispanic,159.6666667
"Lu, Mark",Engineering,male,Other,163.1666667,0.000673751,X,Engineering,male,Other,163.1666667
"Stoytcheva, Nicholas",Communication,male,White,166.6666667,0.000691353,X,Communication,male,White,166.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,170.1666667,0.000708955,X,Undergraduate Studies,female,Hispanic,170.1666667
"Lu, Mark",Engineering,male,Other,173.6666667,0.000726557,X,Engineering,male,Other,173.6666667
"Stoytcheva, Nicholas",Communication,male,White,177.1666667,0.00074416,X,Communication,male,White,177.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,180.6666667,0.000761762,X,Undergraduate Studies,female,Hispanic,180.6666667
"Lu, Mark",Engineering,male,Other,184.1666667,0.000779364,X,Engineering,male,Other,184.1666667
"Stoytcheva, Nicholas",Communication,male,White,187.6666667,0.000796966,X,Communication,male,White,187.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,191.1666667,0.000814568,X,Undergraduate Studies,female,Hispanic,191.1666667
"Lu, Mark",Engineering,male,Other,194.6666667,0.000832171,X,Engineering,male,Other,194.6666667
"Stoytcheva, Nicholas",Communication,male,White,198.1666667,0.000849773,X,Communication,male,White,198.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,201.6666667,0.000867375,X,Undergraduate Studies,female,Hispanic,201.6666667
"Lu, Mark",Engineering,male,Other,205.1666667,0.000884977,X,Engineering,male,Other,205.1666667
"Stoytcheva, Nicholas",Communication,male,White,208.6666667,0.000902579,X,Communication,male,White,208.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,212.1666667,0.000920181,X,Undergraduate Studies,female,Hispanic,212.1666667
"Lu, Mark",Engineering,male,Other,215.6666667,0.000937784,X,Engineering,male,Other,215.6666667
"Stoytcheva, Nicholas",Communication,male,White,219.1666667,0.000955386,X,Communication,male,White,219.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,222.6666667,0.000972988,X,Undergraduate Studies,female,Hispanic,222.6666667
"Lu, Mark",Engineering,male,Other,226.1666667,0.00099059,X,Engineering,male,Other,226.1666667
"Stoytcheva, Nicholas",Communication,male,White,229.6666667,0.001008192,X,Communication,male,White,229.6666667
